Abinger Gardens All Properties Except 1A	1506096/abinger-gardens-all-properties-except-1a	friday-1
Abinger Gardens Only 1A	1506095/abinger-gardens-only-1a	friday-2
Belford Road Only 32	1505858/belford-road-only-32	tuesday-2
Belford Road Only 76	1505857/belford-road-only-76	friday-2
Boswall Parkway 1 - 67 Odd & 2 - 120 Even	1505745/boswall-parkway-1-67-odd-2-120-even	tuesday-2
Boswall Parkway 73 - 121 Odd & 122 - 216 Even	1505744/boswall-parkway-73-121-odd-122-216-even	tuesday-1
Braid Avenue 43 - 75 Odd & 2 - 22 Even	1505718/braid-avenue-43-75-odd-2-22-even	tuesday-1
Braid Avenue 5 - 39 Odd	1505717/braid-avenue-5-39-odd	tuesday-2
Broomhall Drive 1 - 111 Odd	1505660/broomhall-drive-1-111-odd	friday-1
Broomhall Drive 2 - 110 Even	1505659/broomhall-drive-2-110-even	thursday-2
Broomhouse Road 204 - 220 Even	1505632/broomhouse-road-204-220-even	friday-1
Broomhouse Road 241 - 365 Odd & 354 - 358 Even	1505631/broomhouse-road-241-365-odd-354-358-even	thursday-2
Calder Road 1 - 509 Odd	1502925/calder-road-1-509-odd	wednesday-2
Calder Road 2 - 100 Even	1502924/calder-road-2-100-even	thursday-2
Calder Road 298 - 370 Even	1502923/calder-road-298-370-even	thursday-2
Captain's Drive 11 - 79 Odd & 16 - 44 Even	1502881/captain-s-drive-11-79-odd-16-44-even	thursday-1
Captain's Drive 81 - 117 Odd & 46 - 82 Even	1502880/captain-s-drive-81-117-odd-46-82-even	thursday-2
Cluny Gardens Even Numbers	1502710/cluny-gardens-even-numbers	tuesday-1
Cluny Gardens Odd Numbers	1502709/cluny-gardens-odd-numbers	tuesday-2
Colinton Road 105 - 301 Odd & 62 - 300 Even	1502675/colinton-road-105-301-odd-62-300-even	wednesday-2
Colinton Road 7 - 99 Odd & 2 - 36 Even	1502674/colinton-road-7-99-odd-2-36-even	tuesday-2
Corbiehill Road 1 - 23 Odd & 2 - 28 Even	1502634/corbiehill-road-1-23-odd-2-28-even	friday-2
Corbiehill Road 25 - 77 Odd & 30 - 64	1502633/corbiehill-road-25-77-odd-30-64	friday-1
Corstorphine Road All Except Numbers 223, 225, 233 & 134	1502608/corstorphine-road-all-except-numbers-223-225-233-134	friday-2
Corstorphine Road Only 223, 225, 233 & 134	1502607/corstorphine-road-only-223-225-233-134	friday-1
