A70--Glenbrook Rd To B7031	Wednesday
C157 - Kirkliston To Burnshot	Thursday
Craigs Road 1 - 49	Friday
Craigs Road 55 - 93	Thursday
Cramond Road North 10 - 14	Tuesday
Cramond Road North 16 - 48	Thursday
Dalkeith Road 18 - 299	Friday
Dalkeith Road 3 - 16	Wednesday
East Fettes Avenue 1 - 27	Friday
East Fettes Avenue 30 - 52	Tuesday
Old Dalkeith Road 217 - 700	Thursday
Old Dalkeith Road 7 - 165	Friday
Oxgangs Road North 306 - 348	Thursday
Oxgangs Road North 5 - 298	Wednesday
Pentland Terrace 14 - 100	Thursday
Pentland Terrace 7 - 13	Wednesday
Redford Road 10 - 139	Wednesday
Redford Road 201 -271	Thursday
Restalrig Road South 2 -10	Friday
