Blinkbonny Road EH14	Wednesday
Blinkbonny Road EH4	Friday
Bridge Road EH13	Wednesday
Bridge Road EH14	Wednesday
Bridge Street EH15	Friday
Bridge Street EH28	Thursday
High Street EH1	Wednesday
High Street EH29	Thursday
High Street EH30	Thursday
Hope Street EH2	Tuesday
Hope Street EH30	Thursday
Kirkgate   EH6	Tuesday
Kirkgate EH14	Wednesday
Lochend Road EH28	Thursday
Lochend Road EH6	Tuesday
Long Dalmahoy Road EH14	Wednesday
Long Dalmahoy Road EH27	Thursday
Main Street EH14	Wednesday
Main Street EH28	Thursday
Main Street EH29	Thursday
Main Street EH30	Thursday
Main Street EH4	Tuesday
Manse Road EH12	Wednesday
Manse Road EH29	Thursday
Pentland Avenue EH13	Wednesday
Pentland Avenue EH14	Wednesday
Pentland View EH10	Thursday
Pentland View EH14	Wednesday
Queensferry Road 1 -244 EH4	Friday
Queensferry Road EH29 & EH4 385 - 634	Thursday
Riverside EH28	Thursday
Riverside EH4	Thursday
Station Road EH12	Friday
Station Road EH28	Thursday
Station Road EH29	Thursday
Station Road EH30	Thursday
The Glebe EH29	Thursday
The Glebe EH30	Thursday
The Glebe EH4	Thursday
The Green EH14	Wednesday
The Green EH4	Tuesday
West Woods   EH16	Thursday
