Abbey Street  	 thursday-1
Abbotsford Court  	 friday-1
Abbotsford Crescent  	 tuesday-2
Abbotsford Park  	 tuesday-2
Abercorn Avenue  	 wednesday-2
Abercorn Crescent  	 wednesday-2
Abercorn Drive  	 wednesday-2
Abercorn Gardens  	 tuesday-1
Abercorn Grove  	 wednesday-2
Abercorn Road  	 wednesday-2
Abercorn Terrace  	 tuesday-1
Abercromby Place  	 tuesday-2
Abinger Gardens  	 wednesday-1
Achnacarry Street  	 wednesday-2
Adams Well  	 friday-1
Adamslaw Place  	 tuesday-2
Addiston Crescent  	 friday-1
Addiston Farm Road  	 tuesday-1
Addiston Grove  	 friday-1
Addiston Park  	 friday-1
Adelphi Grove  	 friday-2
Adelphi Place  	 friday-2
Adit Place  	 thursday-2
Admiral Terrace  	 wednesday-1
Affleck Court  	 friday-2
Afton Place  	 wednesday-1
Afton Terrace  	 wednesday-1
Ainslie Place  	 wednesday-1
Aitchison's Place  	 friday-2
Alan Breck Gardens  	 thursday-2
Albany Street  	 tuesday-2
Albert Terrace  	 friday-1
Albion Place  	 thursday-1
Albion Road  	 thursday-1
Albion Terrace  	 thursday-1
Alcorn Square  	 wednesday-2
Alderbank Gardens  	 wednesday-1
Alderbank Place  	 wednesday-1
Alderbank Terrace  	 wednesday-1
Alemoor Crescent  	 wednesday-1
Alemoor Park  	 wednesday-1
Alexander Drive  	 friday-2
Alfred Place  	 thursday-1
Allan Park  	 thursday-1
Allan Park Crescent  	 wednesday-1
Allan Park Drive  	 wednesday-1
Allan Park Gardens  	 wednesday-1
Allan Park Loan  	 wednesday-1
Allan Park Road  	 wednesday-1
Allison Place  	 tuesday-2
Alloway Loan  	 wednesday-2
Almond Bank Cottages  	 wednesday-1
Almond Green  	 friday-2
Almond Grove  	 wednesday-1
Almond Square  	 friday-2
Almondbank Terrace  	 wednesday-1
Almondhill  	 tuesday-2
Almondhill Road  	 tuesday-2
Almondhill Steading  	 tuesday-2
Almondside  	 thursday-1
Alnwickhill Court  	 wednesday-2
Alnwickhill Crescent  	 wednesday-2
Alnwickhill Drive  	 wednesday-2
Alnwickhill Gardens  	 wednesday-2
Alnwickhill Grove  	 wednesday-2
Alnwickhill Loan  	 wednesday-2
Alnwickhill Park  	 wednesday-2
Alnwickhill Terrace  	 wednesday-2
Alnwickhill View  	 wednesday-2
Alva Place  	 thursday-1
Andrew Balfour Grove  	 thursday-1
Angle Park Terrace  	 friday-1
Ann Street  	 tuesday-2
Annandale Street  	 thursday-1
Annfield Street  	 tuesday-1
Appin Terrace  	 wednesday-1
Arboretum Place  	 friday-1
Arboretum Road  	 friday-1
Arden Street  	 wednesday-1
Ardmillan Place  	 friday-1
Ardmillan Terrace  	 friday-1
Ardshiel Avenue  	 thursday-2
Argyle Crescent  	 tuesday-1
Argyle Park Terrace  	 wednesday-1
Argyle Place  	 wednesday-1
Argyll Terrace  	 wednesday-1
Arkaig Gardens  	 wednesday-2
Armstrong Road  	 wednesday-2
Arnott Gardens  	 thursday-2
Arrol Place  	 wednesday-1
Ashburnham Gardens  	 wednesday-1
Ashburnham Loan  	 wednesday-1
Ashburnham Road  	 wednesday-1
Ashley Drive  	 friday-1
Ashley Gardens  	 friday-1
Ashley Grange  	 friday-1
Ashley Grove  	 friday-1
Ashley Place  	 friday-1
Ashley Terrace  	 friday-1
Ashton Grove  	 wednesday-2
Ashton Villas  	 wednesday-1
Ashville Terrace  	 thursday-2
Ashwood Gait  	 thursday-2
Atheling Grove  	 tuesday-2
Atholl Terrace  	 wednesday-1
Auchingane  	 friday-1
Auchinleck's Brae  	 tuesday-1
Auldgate  	 tuesday-1
Avenel  	 wednesday-1
Avenue Villas  	 wednesday-2
Avon Grove  	 wednesday-1
Avon Place  	 wednesday-1
Avon Road  	 wednesday-1
Avondale Place  	 tuesday-2
Baberton Avenue  	 tuesday-1
Baberton Crescent  	 tuesday-1
Baberton Loan  	 friday-1
Baberton Mains Avenue  	 wednesday-2
Baberton Mains Bank  	 wednesday-2
Baberton Mains Brae  	 wednesday-2
Baberton Mains Court  	 wednesday-2
Baberton Mains Crescent  	 wednesday-2
Baberton Mains Dell  	 wednesday-2
Baberton Mains Drive  	 wednesday-2
Baberton Mains Gardens  	 wednesday-2
Baberton Mains Green  	 wednesday-2
Baberton Mains Grove  	 wednesday-2
Baberton Mains Hill  	 wednesday-2
Baberton Mains Lea  	 wednesday-2
Baberton Mains Loan  	 wednesday-2
Baberton Mains Park  	 wednesday-2
Baberton Mains Place  	 wednesday-2
Baberton Mains Rise  	 wednesday-2
Baberton Mains Row  	 wednesday-2
Baberton Mains Terrace  	 wednesday-2
Baberton Mains View  	 wednesday-2
Baberton Mains Way  	 wednesday-2
Baberton Mains Wood  	 wednesday-2
Baberton Mains Wynd  	 wednesday-2
Baberton Park  	 tuesday-1
Baberton Square  	 tuesday-1
Back Dean  	 wednesday-1
Backlee  	 wednesday-2
Badger Neuk  	 thursday-2
Badger Way  	 thursday-2
Baileyfield Road  	 tuesday-2
Bailie Grove  	 wednesday-1
Bailie Path  	 thursday-1
Bailie Place  	 wednesday-1
Bailie Terrace  	 wednesday-1
Bain Rigg  	 thursday-2
Bain Street  	 thursday-2
Baird Avenue  	 wednesday-1
Baird Drive  	 wednesday-1
Baird Gardens  	 wednesday-1
Baird Grove  	 wednesday-1
Baird Road  	 wednesday-2
Baird Terrace  	 wednesday-1
Balbirnie Place  	 wednesday-1
Balcarres Street  	 thursday-1
Balcomie Gardens  	 tuesday-2
Balderston Gardens  	 friday-1
Balderston Gardens North  	 friday-1
Balfour Place  	 friday-1
Balfour Street  	 friday-1
Balfron Loan  	 thursday-2
Balgreen Avenue  	 wednesday-1
Balgreen Gardens  	 wednesday-1
Balgreen Park  	 wednesday-1
Ballantyne Lane  	 friday-1
Ballantyne Place  	 friday-1
Balmoral Place  	 tuesday-2
Balmwell Avenue  	 wednesday-2
Balmwell Grove  	 wednesday-2
Balmwell Park  	 wednesday-2
Balmwell Terrace  	 wednesday-2
Balneil Place  	 tuesday-2
Bangholm Avenue  	 tuesday-1
Bangholm Bower Avenue  	 wednesday-1
Bangholm Grove  	 tuesday-1
Bangholm Loan  	 tuesday-1
Bangholm Park  	 tuesday-1
Bangholm Road  	 tuesday-1
Bangholm Terrace  	 friday-1
Bangholm View  	 tuesday-1
Bangholm Villas  	 tuesday-1
Bangor Road  	 friday-1
Bankhead Grove  	 wednesday-1
Bankhead Road  	 tuesday-1
Bannerman Cruick  	 friday-2
Bannerman Terrace  	 friday-2
Barn Park  	 wednesday-2
Barn Park Crescent  	 wednesday-2
Barnie Terrace  	 tuesday-2
Barnshot Road  	 tuesday-2
Barntalloch Court  	 friday-2
Barnton Avenue  	 thursday-1
Barnton Avenue West  	 wednesday-1
Barnton Brae  	 wednesday-1
Barnton Gardens  	 thursday-1
Barnton Grove  	 tuesday-1
Barnton Loan  	 tuesday-1
Barnton Park  	 thursday-1
Barnton Park Avenue  	 tuesday-1
Barnton Park Crescent  	 tuesday-1
Barnton Park Dell  	 tuesday-1
Barnton Park Drive  	 tuesday-1
Barnton Park Gardens  	 tuesday-1
Barnton Park Grove  	 tuesday-1
Barnton Park Place  	 tuesday-1
Barnton Park View  	 tuesday-1
Barnton Park Wood  	 tuesday-1
Barntongate Avenue  	 tuesday-2
Barntongate Drive  	 tuesday-2
Barntongate Terrace  	 tuesday-2
Barnyard Park Crescent  	 friday-1
Barnyard Park Loan  	 friday-1
Barnyard Park Rigg  	 friday-1
Baronscourt Road  	 wednesday-2
Baronscourt Terrace  	 wednesday-2
Barony Street  	 tuesday-2
Barony Terrace  	 friday-2
Bath Place  	 friday-2
Bath Street  	 friday-2
Bathfield  	 friday-1
Bauld Drive  	 thursday-1
Bavelaw Gardens  	 thursday-1
Bavelaw Green  	 thursday-1
Beach Lane  	 friday-2
Beauchamp Grove  	 thursday-2
Beauchamp Road  	 thursday-2
Beaufort Road  	 wednesday-1
Bedford Terrace  	 tuesday-1
Beechmount Crescent  	 wednesday-1
Beechmount Park  	 wednesday-1
Beechwood Mains  	 thursday-1
Beechwood Terrace  	 thursday-2
Belford Avenue  	 thursday-2
Belford Gardens  	 thursday-2
Belford Park  	 tuesday-1
Belford Place  	 wednesday-1
Belford Terrace  	 wednesday-1
Belgrave Crescent  	 thursday-2
Belgrave Crescent Lane  	 thursday-2
Belgrave Gardens  	 friday-2
Belgrave Place  	 thursday-2
Belgrave Road  	 friday-2
Belgrave Terrace  	 friday-2
Belhaven Terrace  	 thursday-1
Bell Place  	 tuesday-2
Bellevue Crescent  	 tuesday-2
Bellevue Gardens  	 thursday-1
Bellevue Grove  	 thursday-1
Bellevue Place  	 thursday-1
Bellevue Road  	 thursday-1
Bellevue Street  	 thursday-1
Bellevue Terrace  	 tuesday-2
Bellfield Lane  	 friday-2
Bellfield Street  	 friday-2
Bellfield Terrace  	 friday-2
Bellrock Park  	 friday-2
Belmont Avenue  	 wednesday-1
Belmont Crescent  	 wednesday-1
Belmont Drive  	 wednesday-1
Belmont Gardens  	 wednesday-1
Belmont Park  	 wednesday-1
Belmont Road  	 tuesday-1
Belmont Terrace  	 thursday-1
Belmont View  	 wednesday-1
Benhar Road  	 thursday-1
Beresford Avenue  	 tuesday-1
Beresford Gardens  	 tuesday-1
Beresford Place  	 tuesday-1
Beresford Terrace  	 tuesday-1
Bethlehem Way  	 wednesday-1
Biggar Road  	 tuesday-1
Bill Douglas Grove  	 thursday-1
Bingham Avenue  	 friday-2
Bingham Broadway  	 friday-2
Bingham Crescent  	 friday-2
Bingham Crossway  	 friday-2
Bingham Drive  	 friday-2
Bingham Medway  	 friday-2
Bingham Place  	 friday-2
Bingham Way  	 friday-2
Blackadder Drive  	 wednesday-1
Blackbarony Road  	 wednesday-2
Blackburn Crag  	 friday-1
Blackchapel Close  	 thursday-1
Blackchapel Road  	 thursday-1
