abbey street	None	 thursday-1	None
abbotsford court	None	 friday-1	None
abbotsford crescent	 tuesday-2	 tuesday-2	 Wednesday
abbotsford park	 tuesday-2	 tuesday-2	 Wednesday
abercorn avenue	 wednesday-2	 wednesday-2	 Friday
abercorn crescent	 wednesday-2	 wednesday-2	 Friday
abercorn drive	 wednesday-2	 wednesday-2	 Friday
abercorn gardens	 wednesday-2	 tuesday-1	 Tuesday
abercorn grove	 wednesday-2	 wednesday-2	 Friday
abercorn road	 wednesday-2	 wednesday-2	 Friday
abercorn terrace	 friday-2	 tuesday-1	 Friday
abercromby place	 wednesday-1	 tuesday-2	 Tuesday
abinger gardens	 friday-1	 wednesday-1	 Friday
achnacarry street	 thursday-2	 wednesday-2	 Thursday
adams well	 wednesday-2	 friday-1	 Wednesday
adamslaw place	None	 tuesday-2	 Friday
addiston crescent	 wednesday-1	 friday-1	 Wednesday
addiston farm road	 thursday-1	 tuesday-1	 Thursday
addiston grove	 wednesday-1	 friday-1	 Wednesday
addiston park	 wednesday-1	 friday-1	 Wednesday
adelphi grove	 friday-1	 friday-2	 Friday
adelphi place	 friday-1	 friday-2	 Friday
adit place	 thursday-1	 thursday-2	 Thursday
admiral terrace	 tuesday-2	 wednesday-1	 Tuesday
affleck court	 thursday-2	 friday-2	 Thursday
afton place	 tuesday-2	 wednesday-1	 Tuesday
afton terrace	 tuesday-2	 wednesday-1	 Tuesday
ainslie place	 wednesday-1	 wednesday-1	 Tuesday
aitchison's place	 friday-1	 friday-2	 Friday
alan breck gardens	 friday-1	 thursday-2	 Friday
albany street	 wednesday-1	 tuesday-2	 Tuesday
albert terrace	 tuesday-2	 friday-1	 Wednesday
albion place	None	 thursday-1	None
albion road	None	 thursday-1	None
albion terrace	None	 thursday-1	None
alcorn square	 wednesday-1	 wednesday-2	 Wednesday
alderbank gardens	 tuesday-1	 wednesday-1	 Tuesday
alderbank place	 tuesday-1	 wednesday-1	 Tuesday
alderbank terrace	 tuesday-1	 wednesday-1	 Tuesday
alemoor crescent	 wednesday-1	 wednesday-1	 Tuesday
alemoor park	 wednesday-1	 wednesday-1	 Tuesday
alexander drive	 tuesday-2	 friday-2	 Friday
alfred place	 wednesday-1	 thursday-1	 Friday
allan park	 thursday-1	 thursday-1	 Thursday
allan park crescent	 tuesday-2	 wednesday-1	 Wednesday
allan park drive	 tuesday-2	 wednesday-1	 Wednesday
allan park gardens	 tuesday-2	 wednesday-1	 Wednesday
allan park loan	 tuesday-2	 wednesday-1	 Wednesday
allan park road	 tuesday-2	 wednesday-1	 Wednesday
allison place	 thursday-1	 tuesday-2	 Thursday
alloway loan	None	 wednesday-2	None
almond bank cottages	 friday-1	 wednesday-1	 Thursday
almond green	 thursday-2	 friday-2	 Thursday
almond grove	 thursday-1	 wednesday-1	 Thursday
almond square	 thursday-2	 friday-2	 Thursday
almondbank terrace	 tuesday-1	 wednesday-1	 Tuesday
almondhill	 thursday-1	 tuesday-2	 Thursday
almondhill road	 thursday-1	 tuesday-2	 Thursday
almondhill steading	 thursday-1	 tuesday-2	 Thursday
almondside	 thursday-1	 thursday-1	 Thursday
alnwickhill court	 thursday-2	 wednesday-2	 Thursday
alnwickhill crescent	 thursday-2	 wednesday-2	 Thursday
alnwickhill drive	 thursday-2	 wednesday-2	 Thursday
alnwickhill gardens	 thursday-2	 wednesday-2	 Thursday
alnwickhill grove	 thursday-2	 wednesday-2	 Thursday
alnwickhill loan	 thursday-2	 wednesday-2	 Thursday
alnwickhill park	 thursday-2	 wednesday-2	 Thursday
alnwickhill terrace	 thursday-2	 wednesday-2	 Thursday
alnwickhill view	 thursday-2	 wednesday-2	 Thursday
alva place	None	 thursday-1	None
andrew balfour grove	 wednesday-1a	 thursday-1	 Friday
angle park terrace	 tuesday-2	 friday-1	 Tuesday
ann street	 tuesday-1	 tuesday-2	 Friday
annandale street	 wednesday-1	 thursday-1	 Tuesday
annfield street	 wednesday-1	 tuesday-1	 Tuesday
appin terrace	None	 wednesday-1	None
arboretum place	 tuesday-2	 friday-1	 Tuesday
arboretum road	 tuesday-2	 friday-1	 Tuesday
arden street	None	 wednesday-1	None
ardmillan place	 tuesday-1	 friday-1	 Tuesday
ardmillan terrace	 tuesday-2	 friday-1	 Tuesday
ardshiel avenue	 friday-1	 thursday-2	 Friday
argyle crescent	 friday-2	 tuesday-1	 Friday
argyle park terrace	 tuesday-1	 wednesday-1	 Wednesday
argyle place	 tuesday-2	 wednesday-1	 Wednesday
argyll terrace	 tuesday-1	 wednesday-1	 Tuesday
arkaig gardens	 thursday-2	 wednesday-2	 Thursday
armstrong road	None	 wednesday-2	None
arnott gardens	 tuesday-2	 thursday-2	 Wednesday
arrol place	 thursday-1	 wednesday-1	 Thursday
ashburnham gardens	 thursday-1	 wednesday-1	 Thursday
ashburnham loan	 thursday-1	 wednesday-1	 Thursday
ashburnham road	 thursday-1	 wednesday-1	 Thursday
ashley drive	 tuesday-2	 friday-1	 Tuesday
ashley gardens	 tuesday-2	 friday-1	 Tuesday
ashley grange	 wednesday-1	 friday-1	 Wednesday
ashley grove	 tuesday-2	 friday-1	 Tuesday
ashley place	None	 friday-1	None
ashley terrace	 tuesday-2	 friday-1	 Tuesday
ashton grove	 friday-1	 wednesday-2	 Friday
ashton villas	 friday-2	 wednesday-1	 Friday
ashville terrace	 wednesday-1	 thursday-2	 Tuesday
ashwood gait	 friday-1	 thursday-2	 Friday
atheling grove	 thursday-1	 tuesday-2	 Thursday
atholl terrace	 tuesday-1	 wednesday-1	 Tuesday
auchingane	 wednesday-2	 friday-1	 Thursday
auchinleck's brae	 wednesday-1	 tuesday-1	 Tuesday
auldgate	 thursday-1	 tuesday-1	 Thursday
avenel	 friday-1	 wednesday-1	 Thursday
avenue villas	 tuesday-2	 wednesday-2	 Tuesday
avon grove	 friday-1	 wednesday-1	 Thursday
avon place	 friday-1	 wednesday-1	 Thursday
avon road	 friday-1	 wednesday-1	 Thursday
avondale place	 tuesday-1	 tuesday-2	 Tuesday
baberton avenue	 wednesday-1	 tuesday-1	 Wednesday
baberton crescent	 wednesday-1	 tuesday-1	 Wednesday
baberton loan	 wednesday-1	 friday-1	 Wednesday
baberton mains avenue	 wednesday-1	 wednesday-2	 Wednesday
baberton mains bank	 wednesday-1	 wednesday-2	 Wednesday
baberton mains brae	 wednesday-1	 wednesday-2	 Wednesday
baberton mains court	 wednesday-1	 wednesday-2	 Wednesday
baberton mains crescent	 wednesday-1	 wednesday-2	 Wednesday
baberton mains dell	 wednesday-1	 wednesday-2	 Wednesday
baberton mains drive	 wednesday-1	 wednesday-2	 Wednesday
baberton mains gardens	 wednesday-1	 wednesday-2	 Wednesday
baberton mains green	 wednesday-1	 wednesday-2	 Wednesday
baberton mains grove	 wednesday-1	 wednesday-2	 Wednesday
baberton mains hill	 wednesday-1	 wednesday-2	 Wednesday
baberton mains lea	 wednesday-1	 wednesday-2	 Wednesday
baberton mains loan	 wednesday-1	 wednesday-2	 Wednesday
baberton mains park	 wednesday-1	 wednesday-2	 Wednesday
baberton mains place	 wednesday-1	 wednesday-2	 Wednesday
baberton mains rise	 wednesday-1	 wednesday-2	 Wednesday
baberton mains row	 wednesday-1	 wednesday-2	 Wednesday
baberton mains terrace	 wednesday-1	 wednesday-2	 Wednesday
baberton mains view	 wednesday-1	 wednesday-2	 Wednesday
baberton mains way	 wednesday-1	 wednesday-2	 Wednesday
baberton mains wood	 wednesday-1	 wednesday-2	 Wednesday
baberton mains wynd	 wednesday-1	 wednesday-2	 Wednesday
baberton park	 wednesday-1	 tuesday-1	 Wednesday
baberton square	 wednesday-1	 tuesday-1	 Wednesday
back dean	 friday-1	 wednesday-1	 Friday
backlee	 thursday-2	 wednesday-2	 Thursday
badger neuk	 wednesday-1	 thursday-2	 Thursday
badger way	 wednesday-1	 thursday-2	 Thursday
baileyfield road	 friday-2	 tuesday-2	 Friday
bailie grove	 friday-2	 wednesday-1	 Friday
bailie path	 friday-2	 thursday-1	 Friday
bailie place	 friday-2	 wednesday-1	 Friday
bailie terrace	 friday-2	 wednesday-1	 Friday
bain rigg	None	 thursday-2	None
bain street	None	 thursday-2	None
baird avenue	 friday-2	 wednesday-1	 Friday
baird drive	 friday-2	 wednesday-1	 Friday
baird gardens	 friday-2	 wednesday-1	 Friday
baird grove	 friday-2	 wednesday-1	 Friday
baird road	 thursday-1	 wednesday-2	 Thursday
baird terrace	 friday-2	 wednesday-1	 Friday
balbirnie place	 tuesday-2	 wednesday-1	 Friday
balcarres street	 tuesday-1	 thursday-1	 Wednesday
balcomie gardens	 thursday-1	 tuesday-2	 Thursday
balderston gardens	 friday-1	 friday-1	 Friday
balderston gardens north	 friday-1	 friday-1	 Friday
balfour place	None	 friday-1	None
balfour street	 wednesday-1	 friday-1	 Tuesday
balfron loan	 friday-1	 thursday-2	 Friday
balgreen avenue	 friday-2	 wednesday-1	 Friday
balgreen gardens	 friday-2	 wednesday-1	 Friday
balgreen park	 friday-2	 wednesday-1	 Friday
ballantyne lane	None	 friday-1	None
ballantyne place	 wednesday-1	 friday-1	 Wednesday
balmoral place	 tuesday-1	 tuesday-2	 Tuesday
